1,Cultural Diversity Requirement
2,Environmental Literacy Requirement
3,Core Curriculum I: Foundation Courses
4,Core Curriculum II: Physical Sciences
5,Core Curriculum II: Life Sciences
6,Core Curriculum III: Quantitative Reasoning
7,Core Curriculum IV: World Languages and Culture
8,Core Curriculum IV: Humanities and Arts
9,Core Curriculum V: Social Sciences
10,Franklin College Foreign Language
11,Franklin College Literature
12,Franklin College Fine Arts/Philosophy/Religion
13,Franlin College History
14,Franklin CollegeSocial Sciences other than History
15,Franklin College Biological Sciences
16,Franklin College:Physical Sciences
17,Franklin College Multicultural Requirement
18,Core CurriculumVI: Major related courses
19,Computer Science Major Courses
